date,open,high,low,close,volume,symbol,data_source
2023-11-09,86.17,86.59,85.97,86.22,44339314,UPCOMINDEX,vnstock_local_update
2023-11-10,86.23,86.31,85.62,86.03,53621321,UPCOMINDEX,vnstock_local_update
2023-11-13,86.04,86.2,85.36,85.98,29461369,UPCOMINDEX,vnstock_local_update
2023-11-14,85.98,86.76,85.97,86.65,34861682,UPCOMINDEX,vnstock_local_update
2023-11-15,86.64,87.5,86.63,87.0,38988448,UPCOMINDEX,vnstock_local_update
2023-11-16,87.01,87.13,86.5,87.13,29338154,UPCOMINDEX,vnstock_local_update
2023-11-17,87.12,87.16,85.48,86.02,62869124,UPCOMINDEX,vnstock_local_update
2023-11-20,86.03,86.13,85.42,86.13,27262296,UPCOMINDEX,vnstock_local_update
2023-11-21,86.13,86.32,85.77,86.22,26944489,UPCOMINDEX,vnstock_local_update
2023-11-22,86.23,86.31,85.46,86.04,29050088,UPCOMINDEX,vnstock_local_update
2023-11-23,86.04,86.26,84.77,84.95,46874520,UPCOMINDEX,vnstock_local_update
2023-11-24,84.95,84.99,84.21,84.99,46162248,UPCOMINDEX,vnstock_local_update
2023-11-27,84.99,85.14,84.36,84.5,21861669,UPCOMINDEX,vnstock_local_update
2023-11-28,84.5,84.66,83.87,84.66,23722105,UPCOMINDEX,vnstock_local_update
2023-11-29,84.65,85.04,84.32,85.04,25706455,UPCOMINDEX,vnstock_local_update
2023-11-30,85.05,85.33,84.79,84.99,24186641,UPCOMINDEX,vnstock_local_update
2023-12-01,84.99,85.28,84.61,85.19,30649185,UPCOMINDEX,vnstock_local_update
2023-12-04,85.19,85.98,85.18,85.97,54298494,UPCOMINDEX,vnstock_local_update
2023-12-05,85.97,86.25,85.84,86.02,37340922,UPCOMINDEX,vnstock_local_update
2023-12-06,86.03,86.34,85.96,86.31,33861369,UPCOMINDEX,vnstock_local_update
2023-12-07,86.31,86.4,85.19,85.71,52979139,UPCOMINDEX,vnstock_local_update
2023-12-08,85.71,85.93,85.53,85.71,52026068,UPCOMINDEX,vnstock_local_update
2023-12-11,85.71,86.08,85.18,85.48,26650479,UPCOMINDEX,vnstock_local_update
2023-12-12,85.49,85.68,85.06,85.35,24384242,UPCOMINDEX,vnstock_local_update
2023-12-13,85.36,85.55,84.51,85.09,43426634,UPCOMINDEX,vnstock_local_update
2023-12-14,85.06,85.54,84.83,85.22,28522003,UPCOMINDEX,vnstock_local_update
2023-12-15,85.23,85.34,84.7,85.05,36051232,UPCOMINDEX,vnstock_local_update
2023-12-18,85.06,85.21,84.66,84.88,24034815,UPCOMINDEX,vnstock_local_update
2023-12-19,84.89,85.13,84.43,85.1,23585183,UPCOMINDEX,vnstock_local_update
2023-12-20,85.1,85.49,84.92,85.48,19358589,UPCOMINDEX,vnstock_local_update
2023-12-21,85.48,86.16,85.26,86.16,17455017,UPCOMINDEX,vnstock_local_update
2023-12-22,86.17,86.67,85.79,86.14,28578091,UPCOMINDEX,vnstock_local_update
2023-12-25,86.17,86.54,85.98,86.21,22367677,UPCOMINDEX,vnstock_local_update
2023-12-26,86.22,86.56,86.05,86.24,20671335,UPCOMINDEX,vnstock_local_update
2023-12-27,86.24,86.68,86.21,86.46,26079167,UPCOMINDEX,vnstock_local_update
2023-12-28,86.46,86.97,86.46,86.97,23576925,UPCOMINDEX,vnstock_local_update
2023-12-29,86.97,87.22,86.25,87.04,42705158,UPCOMINDEX,vnstock_local_update
2024-01-02,87.05,88.06,87.0,87.58,35359617,UPCOMINDEX,vnstock_local_update
2024-01-03,87.58,87.92,87.26,87.8,33936498,UPCOMINDEX,vnstock_local_update
2024-01-04,87.8,88.15,87.31,87.73,44644733,UPCOMINDEX,vnstock_local_update
2024-01-05,87.75,88.18,87.3,87.93,40266722,UPCOMINDEX,vnstock_local_update
2024-01-08,87.93,88.55,87.54,87.79,32796845,UPCOMINDEX,vnstock_local_update
2024-01-09,87.81,88.11,87.44,87.72,40606749,UPCOMINDEX,vnstock_local_update
2024-01-10,87.73,87.81,86.84,87.15,35159432,UPCOMINDEX,vnstock_local_update
2024-01-11,87.15,87.69,87.07,87.56,35687653,UPCOMINDEX,vnstock_local_update
2024-01-12,87.56,87.67,86.76,86.9,49237434,UPCOMINDEX,vnstock_local_update
2024-01-15,86.91,87.2,86.5,86.61,24820447,UPCOMINDEX,vnstock_local_update
2024-01-16,86.63,87.02,86.34,87.02,22249086,UPCOMINDEX,vnstock_local_update
2024-01-17,87.02,87.42,86.76,86.96,25036361,UPCOMINDEX,vnstock_local_update
2024-01-18,86.95,87.34,86.8,87.16,27887820,UPCOMINDEX,vnstock_local_update
2024-01-19,87.17,87.51,87.0,87.46,38546579,UPCOMINDEX,vnstock_local_update
2024-01-22,87.47,87.72,87.13,87.72,32103357,UPCOMINDEX,vnstock_local_update
2024-01-23,87.72,87.76,87.1,87.45,27276855,UPCOMINDEX,vnstock_local_update
2024-01-24,87.45,87.64,87.11,87.64,35434627,UPCOMINDEX,vnstock_local_update
2024-01-25,87.64,87.87,87.37,87.68,25696990,UPCOMINDEX,vnstock_local_update
2024-01-26,87.68,88.17,87.25,87.7,39933502,UPCOMINDEX,vnstock_local_update
2024-01-29,87.7,87.91,87.41,87.6,26037226,UPCOMINDEX,vnstock_local_update
2024-01-30,87.6,87.89,87.04,87.85,30324244,UPCOMINDEX,vnstock_local_update
2024-01-31,87.85,88.22,87.36,87.69,36158255,UPCOMINDEX,vnstock_local_update
2024-02-01,87.69,88.05,87.53,88.02,28402228,UPCOMINDEX,vnstock_local_update
2024-02-02,88.04,88.38,87.96,88.37,36769896,UPCOMINDEX,vnstock_local_update
2024-02-05,88.38,88.53,88.17,88.53,29255180,UPCOMINDEX,vnstock_local_update
2024-02-06,88.51,88.9,88.5,88.86,22845489,UPCOMINDEX,vnstock_local_update
2024-02-07,88.87,89.33,88.68,89.33,21492727,UPCOMINDEX,vnstock_local_update
2024-02-15,89.33,90.06,89.25,90.06,28453051,UPCOMINDEX,vnstock_local_update
2024-02-16,90.06,90.21,89.61,90.06,40254130,UPCOMINDEX,vnstock_local_update
2024-02-19,90.07,90.65,89.96,90.45,54420067,UPCOMINDEX,vnstock_local_update
2024-02-20,90.46,90.66,90.12,90.53,37393119,UPCOMINDEX,vnstock_local_update
2024-02-21,90.53,90.62,90.04,90.61,35042539,UPCOMINDEX,vnstock_local_update
2024-02-22,90.61,90.96,90.26,90.57,54957712,UPCOMINDEX,vnstock_local_update
2024-02-23,90.58,90.95,89.92,90.16,74827987,UPCOMINDEX,vnstock_local_update
2024-02-26,90.17,90.49,89.71,90.49,38686935,UPCOMINDEX,vnstock_local_update
2024-02-27,90.5,90.51,90.04,90.4,45194329,UPCOMINDEX,vnstock_local_update
2024-02-28,90.4,90.68,90.24,90.54,43086917,UPCOMINDEX,vnstock_local_update
2024-02-29,90.57,91.0,90.18,90.63,34201152,UPCOMINDEX,vnstock_local_update
2024-03-01,90.63,91.19,90.63,91.16,55247193,UPCOMINDEX,vnstock_local_update
2024-03-04,91.16,91.5,91.05,91.13,43989298,UPCOMINDEX,vnstock_local_update
2024-03-05,91.13,91.78,91.02,91.78,38325656,UPCOMINDEX,vnstock_local_update
2024-03-06,91.78,91.9,90.84,91.24,44675785,UPCOMINDEX,vnstock_local_update
2024-03-07,91.25,91.61,91.12,91.61,45119597,UPCOMINDEX,vnstock_local_update
2024-03-08,91.61,91.73,91.04,91.23,55752232,UPCOMINDEX,vnstock_local_update
2024-03-11,91.24,91.47,90.5,90.66,37768627,UPCOMINDEX,vnstock_local_update
2024-03-12,90.66,90.94,90.64,90.77,37300407,UPCOMINDEX,vnstock_local_update
