date,open,high,low,close,volume,symbol,data_source
2023-11-09,225.69,231.44,225.69,228.22,129997880,HNXINDEX,vnstock_local_update
2023-11-10,227.61,229.82,226.2,226.65,124414971,HNXINDEX,vnstock_local_update
2023-11-13,225.63,228.0,224.12,226.11,92360912,HNXINDEX,vnstock_local_update
2023-11-14,226.13,229.47,225.97,227.43,82159830,HNXINDEX,vnstock_local_update
2023-11-15,225.45,232.25,225.45,227.88,108473463,HNXINDEX,vnstock_local_update
2023-11-16,227.86,229.57,226.49,229.56,101617131,HNXINDEX,vnstock_local_update
2023-11-17,229.56,231.11,225.41,226.54,147547228,HNXINDEX,vnstock_local_update
2023-11-20,226.54,228.47,223.5,227.77,93266032,HNXINDEX,vnstock_local_update
2023-11-21,227.2,229.95,225.92,229.8,91375979,HNXINDEX,vnstock_local_update
2023-11-22,229.37,230.74,228.03,230.49,97419196,HNXINDEX,vnstock_local_update
2023-11-23,230.49,232.01,224.54,224.54,129161144,HNXINDEX,vnstock_local_update
2023-11-24,222.9,226.1,220.15,226.1,122446777,HNXINDEX,vnstock_local_update
2023-11-27,226.1,226.82,222.93,223.89,55340300,HNXINDEX,vnstock_local_update
2023-11-28,223.25,224.66,220.75,224.39,77889793,HNXINDEX,vnstock_local_update
2023-11-29,224.39,227.04,224.06,227.03,76692427,HNXINDEX,vnstock_local_update
2023-11-30,227.03,228.76,226.13,226.15,97902132,HNXINDEX,vnstock_local_update
2023-12-01,226.15,227.47,224.35,226.26,74201824,HNXINDEX,vnstock_local_update
2023-12-04,226.08,232.75,226.08,231.31,136584775,HNXINDEX,vnstock_local_update
2023-12-05,230.49,232.62,230.24,231.34,91868931,HNXINDEX,vnstock_local_update
2023-12-06,231.28,233.64,231.05,233.63,101785936,HNXINDEX,vnstock_local_update
2023-12-07,232.29,234.71,228.72,231.84,185717146,HNXINDEX,vnstock_local_update
2023-12-08,232.65,233.09,230.12,231.2,90568306,HNXINDEX,vnstock_local_update
2023-12-11,231.02,232.64,229.81,231.37,76707019,HNXINDEX,vnstock_local_update
2023-12-12,230.09,232.91,226.38,231.71,74617195,HNXINDEX,vnstock_local_update
2023-12-13,231.67,232.57,228.0,228.42,97576160,HNXINDEX,vnstock_local_update
2023-12-14,228.52,230.05,226.48,227.23,81366002,HNXINDEX,vnstock_local_update
2023-12-15,227.23,228.49,226.16,227.02,76846653,HNXINDEX,vnstock_local_update
2023-12-18,227.04,227.56,225.11,225.73,62543732,HNXINDEX,vnstock_local_update
2023-12-19,224.87,227.27,223.39,227.27,78808318,HNXINDEX,vnstock_local_update
2023-12-20,227.04,228.21,226.92,228.16,46044889,HNXINDEX,vnstock_local_update
